,Pressure (Pa)
Port 1,-2446.4039582721393
Port 2,-1907.982042667654
Port 3,-1746.322555415252
Port 4,-1395.504302720922
Port 5,-1044.819119301364
Port 6,-1076.0393509118705
Port 7,-771.7460524201016
Port 8,-598.4470529776802
Port 9,-356.8626820185899
Port 10,-171.87914276911394
Port 11,-119.65534203822867
Port 12,-94.85539535252532
Port 13,30.603487877268964
Port 14,143.54189546519854
Port 15,210.90970039569837
Port 16,248.2304761714214
Port 17,301.73749718805897
Port 18,415.67799186788864
Port 19,520.0496436143537
