y Position (cm),Pressure (Pa)
8.67,557.0874068956755
9.17,558.3791118619592
10.34,559.6737966330281
10.84,559.821467625061
12.0,560.224555781476
12.5,559.7512817684427
13.67,560.1895348763999
14.17,560.6976857443747
14.67,559.9997206835039
15.17,560.1640851498647
15.67,555.5877558002915
16.17,543.2050248700425
16.67,499.95312749612026
17.17,497.94128796331916
17.67,532.955041748653
18.17,547.7359842880726
18.67,557.6340729319558
19.17,557.8662258323014
19.67,557.5608928702297
20.17,557.228284834113
20.67,558.8601275978391
21.17,558.576655436339
21.67,558.9084423693456
22.17,559.214343303063
22.67,557.1662317074075
23.17,558.597493468815
23.67,559.9109645714879
24.17,560.3340326266983
25.340000000000003,804.0764393356624
25.840000000000003,805.3385108257397
27.0,565.62893869423
27.5,564.837445311907
28.67,557.8607374797982
29.17,555.810460997121
