y Position (cm),Pressure Uncertainty (Pa)
7.67,0.6223752336683734
8.17,0.5104971801751462
9.34,0.5011002868155002
9.84,0.5296081721775123
11.0,0.5163148564204315
11.5,0.5209671465451576
12.67,0.5269458740631738
13.17,0.47792289003667493
13.67,0.5387924930642385
14.17,0.7652672134719216
14.67,0.8887738250002993
15.17,0.8187788311774118
15.67,0.8613398054594429
16.17,0.5601762152384915
16.67,0.6282510884500622
17.17,0.5296567201650066
17.67,0.5130589705182615
18.17,0.5304994600572279
18.67,0.5142276050212269
19.17,0.48901633774274583
19.67,0.4970662253554177
20.17,0.5013167932404944
20.67,0.46240704113649034
21.17,0.5030523250034195
21.67,0.5433262099557988
22.17,0.46715022041189797
22.67,0.5275364254876362
23.17,0.46790805864705914
24.340000000000003,0.10265559763897426
24.840000000000003,0.07632178002663362
26.0,0.5620991311183658
26.5,0.5221536412929678
27.67,0.4879427155576055
28.17,0.7528151862486285
