CLARK Y AIRFOIL                                 
 Alfa =  11.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00060  0.00286
   0.99252  0.00237  0.00071
   0.98109  0.00508 -0.00248
   0.96943  0.00782 -0.00565
   0.95759  0.01058 -0.00876
   0.94559  0.01335 -0.01175
   0.93347  0.01610 -0.01453
   0.92124  0.01884 -0.01700
   0.90893  0.02156 -0.01922
   0.89655  0.02425 -0.02263
   0.88411  0.02692 -0.02955
   0.87163  0.02955 -0.03840
   0.85912  0.03216 -0.04916
   0.84658  0.03472 -0.06185
   0.83402  0.03725 -0.07642
   0.82144  0.03974 -0.09284
   0.80885  0.04219 -0.11103
   0.79624  0.04460 -0.13088
   0.78363  0.04696 -0.15222
   0.77101  0.04927 -0.17496
   0.75838  0.05155 -0.19887
   0.74574  0.05377 -0.22393
   0.73311  0.05595 -0.24986
   0.72047  0.05808 -0.27656
   0.70783  0.06017 -0.30398
   0.69519  0.06220 -0.33217
   0.68256  0.06419 -0.36083
   0.66993  0.06612 -0.38987
   0.65731  0.06800 -0.41942
   0.64470  0.06982 -0.44915
   0.63210  0.07158 -0.47914
   0.61950  0.07327 -0.50903
   0.60691  0.07490 -0.53908
   0.59433  0.07646 -0.56889
   0.58176  0.07794 -0.59832
   0.56918  0.07936 -0.62768
   0.55661  0.08070 -0.65689
   0.54405  0.08198 -0.68581
   0.53148  0.08318 -0.71505
   0.51893  0.08431 -0.74412
   0.50637  0.08537 -0.77347
   0.49383  0.08635 -0.80335
   0.48130  0.08727 -0.83369
   0.46878  0.08810 -0.86432
   0.45628  0.08886 -0.89518
   0.44380  0.08953 -0.92605
   0.43133  0.09011 -0.95692
   0.41888  0.09061 -0.98770
   0.40645  0.09100 -1.01779
   0.39404  0.09130 -1.04691
   0.38163  0.09150 -1.07472
   0.36924  0.09161 -1.10199
   0.35687  0.09162 -1.12950
   0.34451  0.09155 -1.15753
   0.33219  0.09141 -1.18695
   0.31991  0.09118 -1.21872
   0.30769  0.09089 -1.25341
   0.29556  0.09055 -1.29342
   0.28354  0.09014 -1.34025
   0.27165  0.08965 -1.39178
   0.25993  0.08908 -1.44647
   0.24840  0.08840 -1.50287
   0.23706  0.08761 -1.55970
   0.22593  0.08670 -1.61406
   0.21504  0.08565 -1.66625
   0.20440  0.08446 -1.71450
   0.19402  0.08314 -1.75413
   0.18392  0.08168 -1.78520
   0.17411  0.08011 -1.81089
   0.16463  0.07844 -1.83493
   0.15547  0.07669 -1.86971
   0.14668  0.07489 -1.93693
   0.13826  0.07304 -2.05992
   0.13022  0.07117 -2.23109
   0.12257  0.06928 -2.30465
   0.11532  0.06738 -2.33727
   0.10844  0.06548 -2.36928
   0.10194  0.06358 -2.40093
   0.09581  0.06170 -2.43250
   0.09001  0.05984 -2.46426
   0.08454  0.05801 -2.49650
   0.07938  0.05621 -2.52961
   0.07451  0.05445 -2.56405
