CLARK-Y 11.7% smoothed                          
 Alfa =  14.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000 -0.09918
   0.99604  0.00107 -0.09980
   0.98939  0.00282 -0.10120
   0.98190  0.00475 -0.10281
   0.97365  0.00683 -0.10461
   0.96478  0.00903 -0.10657
   0.95542  0.01129 -0.10867
   0.94570  0.01360 -0.11086
   0.93572  0.01593 -0.11313
   0.92557  0.01827 -0.11545
   0.91532  0.02060 -0.11782
   0.90499  0.02291 -0.12022
   0.89462  0.02520 -0.12265
   0.88422  0.02747 -0.12510
   0.87380  0.02972 -0.12757
   0.86336  0.03194 -0.13006
   0.85292  0.03413 -0.13257
   0.84246  0.03630 -0.13508
   0.83200  0.03844 -0.13761
   0.82155  0.04055 -0.14014
   0.81109  0.04262 -0.14266
   0.80063  0.04467 -0.14516
   0.79017  0.04668 -0.14763
   0.77972  0.04867 -0.15003
   0.76926  0.05062 -0.15234
   0.75880  0.05253 -0.15448
   0.74834  0.05442 -0.15636
   0.73788  0.05627 -0.15787
   0.72742  0.05808 -0.15889
   0.71697  0.05985 -0.15983
   0.70652  0.06159 -0.16326
   0.69608  0.06329 -0.16987
   0.68564  0.06495 -0.17836
   0.67520  0.06657 -0.18875
   0.66476  0.06815 -0.20104
   0.65433  0.06969 -0.21525
   0.64389  0.07118 -0.23128
   0.63345  0.07264 -0.24916
   0.62302  0.07405 -0.26872
   0.61258  0.07542 -0.29000
   0.60215  0.07674 -0.31271
   0.59172  0.07802 -0.33689
   0.58130  0.07925 -0.36232
   0.57088  0.08043 -0.38888
   0.56046  0.08157 -0.41642
   0.55004  0.08266 -0.44477
   0.53963  0.08369 -0.47395
   0.52922  0.08468 -0.50381
   0.51881  0.08562 -0.53389
   0.50841  0.08651 -0.56469
   0.49800  0.08735 -0.59584
   0.48761  0.08813 -0.62667
   0.47721  0.08886 -0.65832
   0.46683  0.08954 -0.69005
   0.45645  0.09016 -0.72155
   0.44607  0.09073 -0.75380
   0.43570  0.09124 -0.78540
   0.42533  0.09169 -0.81799
   0.41497  0.09209 -0.85077
   0.40460  0.09242 -0.88322
   0.39425  0.09270 -0.91532
   0.38390  0.09292 -0.94897
   0.37356  0.09308 -0.98092
   0.36322  0.09319 -1.01683
   0.35291  0.09322 -1.05037
   0.34261  0.09320 -1.08530
   0.33232  0.09311 -1.12320
   0.32205  0.09296 -1.15627
   0.31179  0.09274 -1.19612
   0.30154  0.09245 -1.23354
   0.29131  0.09210 -1.27171
   0.28110  0.09168 -1.31638
   0.27092  0.09119 -1.35885
   0.26079  0.09064 -1.40771
   0.25074  0.09001 -1.45457
   0.24075  0.08930 -1.50634
   0.23086  0.08851 -1.55962
   0.22105  0.08763 -1.61526
   0.21135  0.08666 -1.67589
   0.20176  0.08558 -1.73137
   0.19228  0.08440 -1.78787
   0.18292  0.08310 -1.85063
   0.17367  0.08168 -1.90234
   0.16452  0.08013 -1.95404
   0.15545  0.07843 -2.00007
   0.14645  0.07660 -2.04282
   0.13753  0.07463 -2.08208
   0.12869  0.07251 -2.11265
   0.11992  0.07025 -2.14447
   0.11123  0.06785 -2.15708
   0.10263  0.06531 -2.19126
   0.09416  0.06267 -2.23834
   0.08587  0.05993 -2.37911
   0.07785  0.05715 -2.74290
   0.07020  0.05435 -3.37914
   0.06299  0.05156 -3.45673
   0.05627  0.04881 -3.48721
   0.05010  0.04612 -3.51558
   0.04447  0.04350 -3.54544
   0.03939  0.04096 -3.57929
   0.03482  0.03851 -3.62006
   0.03071  0.03614 -3.67138
   0.02704  0.03386 -3.73637
   0.02376  0.03165 -3.81437
   0.02082  0.02952 -3.90281
   0.01819  0.02747 -4.00028
   0.01583  0.02549 -4.10342
   0.01372  0.02359 -4.20794
   0.01182  0.02175 -4.31233
   0.01011  0.01998 -4.40687
   0.00859  0.01828 -4.51136
   0.00723  0.01664 -4.61198
   0.00602  0.01506 -4.70149
   0.00493  0.01353 -4.80007
   0.00396  0.01204 -4.89973
   0.00310  0.01059 -4.99664
   0.00235  0.00917 -5.08545
   0.00171  0.00778 -5.15623
   0.00117  0.00644 -5.25954
   0.00073  0.00514 -5.30034
   0.00040  0.00388 -5.30384
   0.00017  0.00267 -5.24183
   0.00003  0.00149 -5.11214
   0.00000  0.00033 -4.95358
   0.00008 -0.00084 -4.53399
   0.00026 -0.00201 -4.17728
   0.00057 -0.00320 -3.64234
   0.00101 -0.00438 -3.09874
   0.00160 -0.00556 -2.46980
   0.00234 -0.00672 -1.80898
   0.00322 -0.00785 -1.17873
   0.00424 -0.00894 -0.71733
   0.00539 -0.01000 -0.32918
   0.00667 -0.01102 -0.01705
   0.00808 -0.01201  0.24528
   0.00964 -0.01298  0.46329
   0.01135 -0.01393  0.62890
   0.01321 -0.01486  0.73473
   0.01526 -0.01578  0.83301
   0.01750 -0.01669  0.89780
   0.01995 -0.01758  0.94589
   0.02264 -0.01847  0.97541
   0.02562 -0.01934  0.99367
   0.02891 -0.02020  0.99972
   0.03256 -0.02105  0.99784
   0.03664 -0.02188  0.98701
   0.04119 -0.02268  0.97155
   0.04628 -0.02345  0.95176
   0.05197 -0.02419  0.92723
   0.05830 -0.02489  0.89924
   0.06530 -0.02553  0.87178
   0.07295 -0.02611  0.84079
   0.08123 -0.02663  0.81362
   0.09007 -0.02709  0.78516
   0.09932 -0.02749  0.75765
   0.10888 -0.02781  0.72832
   0.11868 -0.02805  0.70503
   0.12868 -0.02823  0.68265
   0.13881 -0.02835  0.66047
   0.14905 -0.02840  0.63863
   0.15937 -0.02839  0.62004
   0.16974 -0.02833  0.60265
   0.18018 -0.02821  0.58759
   0.19070 -0.02804  0.57050
   0.20129 -0.02784  0.55855
   0.21192 -0.02760  0.54497
   0.22260 -0.02733  0.53216
   0.23331 -0.02703  0.52227
   0.24407 -0.02671  0.50951
   0.25488 -0.02638  0.50006
   0.26574 -0.02602  0.49000
   0.27662 -0.02566  0.48052
   0.28752 -0.02530  0.47210
   0.29843 -0.02493  0.46199
   0.30934 -0.02456  0.45298
   0.32025 -0.02418  0.44434
   0.33117 -0.02379  0.43570
   0.34211 -0.02341  0.42878
   0.35305 -0.02303  0.41906
   0.36399 -0.02265  0.41168
   0.37494 -0.02227  0.40413
   0.38589 -0.02189  0.39612
   0.39684 -0.02150  0.38797
   0.40779 -0.02112  0.38043
   0.41874 -0.02074  0.37355
   0.42970 -0.02036  0.36641
   0.44065 -0.01997  0.35900
   0.45160 -0.01959  0.35189
   0.46255 -0.01921  0.34399
   0.47351 -0.01884  0.33805
   0.48447 -0.01846  0.33083
   0.49542 -0.01808  0.32412
   0.50638 -0.01770  0.31682
   0.51734 -0.01732  0.31040
   0.52830 -0.01694  0.30396
   0.53926 -0.01656  0.29694
   0.55021 -0.01618  0.29053
   0.56117 -0.01580  0.28397
   0.57213 -0.01542  0.27714
   0.58309 -0.01505  0.27044
   0.59404 -0.01467  0.26394
   0.60500 -0.01429  0.25735
   0.61596 -0.01391  0.25072
   0.62692 -0.01354  0.24439
   0.63788 -0.01316  0.23724
   0.64884 -0.01278  0.23051
   0.65980 -0.01240  0.22410
   0.67076 -0.01202  0.21730
   0.68172 -0.01164  0.21021
   0.69268 -0.01126  0.20355
   0.70365 -0.01088  0.19672
   0.71461 -0.01050  0.18957
   0.72557 -0.01013  0.18249
   0.73654 -0.00975  0.17494
   0.74750 -0.00937  0.16802
   0.75846 -0.00899  0.16020
   0.76942 -0.00861  0.15260
   0.78037 -0.00823  0.14485
   0.79132 -0.00786  0.13661
   0.80226 -0.00748  0.12804
   0.81320 -0.00711  0.11915
   0.82415 -0.00674  0.10969
   0.83510 -0.00637  0.10043
   0.84604 -0.00600  0.08983
   0.85699 -0.00563  0.07905
   0.86793 -0.00527  0.06793
   0.87887 -0.00490  0.05531
   0.88978 -0.00452  0.04267
   0.90067 -0.00415  0.02789
   0.91150 -0.00378  0.01293
   0.92225 -0.00341 -0.00436
   0.93288 -0.00302 -0.02304
   0.94334 -0.00264 -0.04321
   0.95354 -0.00224 -0.06658
   0.96336 -0.00184 -0.09098
   0.97264 -0.00143 -0.11805
   0.98122 -0.00103 -0.14613
   0.98900 -0.00062 -0.17050
   0.99590 -0.00024 -0.18930
   1.00000  0.00000 -0.09918
