  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.214 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4432   0.00973   0.00438  -0.0949   0.7897   1.0000
   0.250   0.4678   0.00975   0.00428  -0.0941   0.7796   1.0000
   0.500   0.4929   0.00977   0.00419  -0.0934   0.7697   1.0000
   0.750   0.5176   0.00981   0.00413  -0.0926   0.7592   1.0000
   1.000   0.5420   0.00986   0.00411  -0.0918   0.7479   1.0000
   1.250   0.5664   0.00992   0.00409  -0.0910   0.7364   1.0000
   1.500   0.5909   0.00999   0.00408  -0.0901   0.7249   1.0000
   1.750   0.6155   0.01007   0.00409  -0.0893   0.7132   1.0000
   2.000   0.6400   0.01015   0.00410  -0.0885   0.7009   1.0000
   2.250   0.6645   0.01024   0.00412  -0.0876   0.6881   1.0000
   2.500   0.6889   0.01033   0.00415  -0.0868   0.6747   1.0000
   2.750   0.7133   0.01044   0.00419  -0.0859   0.6609   1.0000
   3.000   0.7377   0.01055   0.00423  -0.0850   0.6462   1.0000
   3.250   0.7617   0.01068   0.00429  -0.0841   0.6301   1.0000
   3.500   0.7855   0.01082   0.00438  -0.0831   0.6123   1.0000
   3.750   0.8093   0.01099   0.00445  -0.0822   0.5944   1.0000
   4.000   0.8324   0.01118   0.00458  -0.0811   0.5732   1.0000
   4.250   0.8553   0.01141   0.00472  -0.0801   0.5513   1.0000
   4.500   0.8779   0.01168   0.00488  -0.0789   0.5285   1.0000
   4.750   0.9001   0.01200   0.00507  -0.0778   0.5058   1.0000
   5.000   0.9224   0.01233   0.00531  -0.0767   0.4835   1.0000
   5.250   0.9446   0.01267   0.00555  -0.0757   0.4626   1.0000
   5.500   0.9666   0.01304   0.00580  -0.0746   0.4436   1.0000
   5.750   0.9888   0.01338   0.00609  -0.0736   0.4249   1.0000
