  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK-Y 11.7% smoothed                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.214 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.250   0.5367   0.00988   0.00439  -0.1059   0.7834   1.0000
   0.500   0.5592   0.00989   0.00430  -0.1047   0.7721   1.0000
   0.750   0.5818   0.00991   0.00424  -0.1035   0.7606   1.0000
   1.000   0.6047   0.00995   0.00418  -0.1023   0.7491   1.0000
   1.250   0.6270   0.01000   0.00415  -0.1010   0.7369   1.0000
   1.500   0.6488   0.01006   0.00415  -0.0997   0.7239   1.0000
   1.750   0.6710   0.01014   0.00416  -0.0983   0.7110   1.0000
   2.000   0.6935   0.01021   0.00416  -0.0971   0.6978   1.0000
   2.250   0.7158   0.01030   0.00418  -0.0958   0.6843   1.0000
   2.500   0.7373   0.01041   0.00423  -0.0943   0.6695   1.0000
   2.750   0.7595   0.01053   0.00426  -0.0930   0.6550   1.0000
   3.000   0.7806   0.01066   0.00435  -0.0915   0.6391   1.0000
   3.250   0.8023   0.01080   0.00440  -0.0900   0.6233   1.0000
   3.500   0.8229   0.01096   0.00451  -0.0884   0.6058   1.0000
   3.750   0.8435   0.01115   0.00462  -0.0868   0.5879   1.0000
   4.000   0.8640   0.01135   0.00474  -0.0852   0.5698   1.0000
   4.250   0.8839   0.01158   0.00490  -0.0835   0.5507   1.0000
   4.500   0.9033   0.01184   0.00507  -0.0817   0.5309   1.0000
   4.750   0.9226   0.01211   0.00527  -0.0799   0.5112   1.0000
   5.000   0.9415   0.01242   0.00549  -0.0781   0.4916   1.0000
   5.250   0.9599   0.01274   0.00571  -0.0762   0.4716   1.0000
   5.500   0.9780   0.01308   0.00596  -0.0742   0.4521   1.0000
   5.750   0.9961   0.01344   0.00622  -0.0723   0.4340   1.0000
   6.000   1.0148   0.01378   0.00651  -0.0706   0.4177   1.0000
   6.250   1.0335   0.01415   0.00681  -0.0688   0.4027   1.0000
   6.500   1.0523   0.01450   0.00713  -0.0671   0.3883   1.0000
   6.750   1.0709   0.01487   0.00745  -0.0654   0.3750   1.0000
   7.000   1.0898   0.01525   0.00778  -0.0638   0.3633   1.0000
   7.250   1.1090   0.01561   0.00815  -0.0623   0.3523   1.0000
   7.500   1.1279   0.01598   0.00852  -0.0607   0.3415   1.0000
   7.750   1.1463   0.01635   0.00890  -0.0591   0.3309   1.0000
   8.000   1.1643   0.01672   0.00929  -0.0573   0.3204   1.0000
   8.250   1.1814   0.01709   0.00969  -0.0555   0.3095   1.0000
   8.500   1.1975   0.01746   0.01011  -0.0535   0.2981   1.0000
   8.750   1.2115   0.01784   0.01051  -0.0511   0.2861   1.0000
   9.000   1.2238   0.01824   0.01094  -0.0484   0.2732   1.0000
   9.250   1.2350   0.01868   0.01141  -0.0456   0.2581   1.0000
   9.500   1.2446   0.01919   0.01193  -0.0427   0.2389   1.0000
   9.750   1.2515   0.01988   0.01256  -0.0395   0.2114   1.0000
  10.000   1.2541   0.02093   0.01343  -0.0360   0.1738   1.0000
  10.250   1.2543   0.02230   0.01458  -0.0325   0.1461   1.0000
  10.500   1.2568   0.02366   0.01583  -0.0294   0.1310   1.0000
  10.750   1.2597   0.02505   0.01716  -0.0266   0.1212   1.0000
  11.000   1.2646   0.02640   0.01851  -0.0242   0.1141   1.0000
  11.250   1.2690   0.02785   0.01994  -0.0219   0.1086   1.0000
  11.500   1.2739   0.02932   0.02140  -0.0198   0.1037   1.0000
  11.750   1.2806   0.03073   0.02287  -0.0179   0.0992   1.0000
  12.000   1.2869   0.03223   0.02437  -0.0162   0.0954   1.0000
  12.250   1.2940   0.03373   0.02592  -0.0146   0.0917   1.0000
  12.500   1.3014   0.03521   0.02743  -0.0132   0.0880   1.0000
  12.750   1.3093   0.03679   0.02900  -0.0117   0.0848   1.0000
  13.000   1.3170   0.03830   0.03064  -0.0105   0.0815   1.0000
  13.250   1.3256   0.03987   0.03214  -0.0093   0.0782   1.0000
  13.500   1.3321   0.04155   0.03398  -0.0082   0.0754   1.0000
  13.750   1.3391   0.04321   0.03573  -0.0072   0.0726   1.0000
  14.000   1.3492   0.04480   0.03726  -0.0062   0.0697   1.0000
  14.250   1.3508   0.04689   0.03957  -0.0053   0.0671   1.0000
  14.500   1.3563   0.04876   0.04148  -0.0045   0.0645   1.0000
  14.750   1.3633   0.05064   0.04339  -0.0037   0.0621   1.0000
  15.000   1.3631   0.05310   0.04606  -0.0032   0.0598   1.0000
  15.250   1.3678   0.05515   0.04814  -0.0027   0.0576   1.0000
  15.750   1.3682   0.06043   0.05369  -0.0022   0.0533   1.0000
  16.000   1.3708   0.06285   0.05616  -0.0021   0.0515   1.0000
  16.250   1.3750   0.06518   0.05851  -0.0018   0.0495   1.0000
  16.500   1.3671   0.06904   0.06263  -0.0025   0.0477   1.0000
  16.750   1.3667   0.07202   0.06571  -0.0029   0.0462   1.0000
  17.000   1.3738   0.07404   0.06763  -0.0027   0.0443   1.0000
  17.250   1.3627   0.07867   0.07256  -0.0040   0.0430   1.0000
  17.500   1.3569   0.08268   0.07675  -0.0051   0.0416   1.0000
  17.750   1.3571   0.08578   0.07986  -0.0060   0.0402   1.0000
  18.000   1.3568   0.08903   0.08318  -0.0067   0.0389   1.0000
  18.250   1.3452   0.09423   0.08864  -0.0087   0.0379   1.0000
  18.500   1.3362   0.09914   0.09373  -0.0108   0.0367   1.0000
  18.750   1.3352   0.10266   0.09730  -0.0123   0.0357   1.0000
  19.000   1.3378   0.10552   0.10015  -0.0132   0.0346   1.0000
  19.250   1.3204   0.11221   0.10713  -0.0167   0.0339   1.0000
  19.500   1.3063   0.11846   0.11360  -0.0201   0.0331   1.0000
  19.750   1.2953   0.12421   0.11952  -0.0234   0.0324   1.0000
  20.000   1.2897   0.12896   0.12437  -0.0262   0.0318   1.0000
